customer_id,customer_state,signup_date
CUST_00001,SP,2022-06-07
CUST_00002,CE,2022-12-28
CUST_00003,PR,2022-05-19
CUST_00004,MG,2022-08-09
CUST_00005,SP,2022-09-30
CUST_00006,SP,2022-06-03
CUST_00007,SP,2022-09-06
CUST_00008,BA,2022-10-06
CUST_00009,MG,2022-10-31
CUST_00010,RS,2022-10-03
CUST_00011,SP,2022-01-02
CUST_00012,Other,2022-03-29
CUST_00013,BA,2022-10-14
CUST_00014,SP,2022-05-10
CUST_00015,SP,2022-03-19
CUST_00016,SP,2022-09-17
CUST_00017,SP,2022-08-29
CUST_00018,RJ,2022-05-21
CUST_00019,RJ,2022-08-16
CUST_00020,SP,2022-06-12
CUST_00021,MG,2022-08-24
CUST_00022,SP,2022-05-08
CUST_00023,SP,2022-07-19
CUST_00024,SP,2022-01-31
CUST_00025,RJ,2022-05-18
CUST_00026,SC,2022-01-21
CUST_00027,SP,2022-08-22
CUST_00028,RJ,2022-07-21
CUST_00029,MG,2022-10-06
CUST_00030,SP,2022-05-11
CUST_00031,MG,2022-05-28
CUST_00032,SP,2022-01-29
CUST_00033,SP,2022-12-27
CUST_00034,CE,2022-11-04
CUST_00035,Other,2022-06-11
CUST_00036,SC,2022-12-23
CUST_00037,SP,2022-12-06
CUST_00038,SP,2022-03-02
CUST_00039,RS,2022-05-05
CUST_00040,RJ,2022-03-12
CUST_00041,SP,2022-11-22
CUST_00042,RJ,2022-12-30
CUST_00043,SP,2022-08-31
CUST_00044,ES,2022-09-06
CUST_00045,SP,2022-08-09
CUST_00046,RS,2022-01-21
CUST_00047,SP,2022-03-23
CUST_00048,RJ,2022-12-10
CUST_00049,RJ,2022-01-10
CUST_00050,SP,2022-01-12
CUST_00051,Other,2022-09-20
CUST_00052,PR,2022-05-25
CUST_00053,PE,2022-07-11
CUST_00054,GO,2022-09-07
CUST_00055,MG,2022-04-24
CUST_00056,PE,2022-01-26
CUST_00057,SP,2022-09-28
CUST_00058,SP,2022-02-02
CUST_00059,SP,2022-03-03
CUST_00060,SP,2022-08-17
CUST_00061,SP,2022-10-30
CUST_00062,SP,2022-04-05
CUST_00063,SC,2022-02-04
CUST_00064,SP,2022-07-12
CUST_00065,SP,2022-03-17
CUST_00066,RJ,2022-09-06
CUST_00067,SP,2022-03-24
CUST_00068,SC,2022-01-25
CUST_00069,SP,2022-02-26
CUST_00070,Other,2022-02-01
CUST_00071,PR,2022-11-15
CUST_00072,SP,2022-01-12
CUST_00073,SP,2022-11-15
CUST_00074,SC,2022-11-29
CUST_00075,RS,2022-04-02
CUST_00076,PR,2022-01-01
CUST_00077,PR,2022-11-22
CUST_00078,SP,2022-05-16
CUST_00079,SP,2022-07-15
CUST_00080,SP,2022-05-13
CUST_00081,BA,2022-03-27
CUST_00082,MG,2022-10-22
CUST_00083,SP,2022-10-06
CUST_00084,SP,2022-11-20
CUST_00085,SP,2022-06-29
CUST_00086,SP,2022-01-04
CUST_00087,PR,2022-05-06
CUST_00088,MG,2022-06-24
CUST_00089,GO,2022-09-08
CUST_00090,RJ,2022-01-21
CUST_00091,SP,2022-04-15
CUST_00092,RS,2022-03-07
CUST_00093,PR,2022-09-20
CUST_00094,MG,2022-02-18
CUST_00095,PR,2022-01-16
CUST_00096,RJ,2022-05-25
CUST_00097,RJ,2022-12-06
CUST_00098,RJ,2022-09-07
CUST_00099,SP,2022-12-09
CUST_00100,SP,2022-12-20
CUST_00101,SP,2022-03-16
CUST_00102,MG,2022-10-17
CUST_00103,SP,2022-10-09
CUST_00104,RJ,2022-03-07
CUST_00105,ES,2022-05-05
CUST_00106,SP,2022-11-15
CUST_00107,SP,2022-03-28
CUST_00108,PR,2022-02-10
CUST_00109,SP,2022-07-05
CUST_00110,SP,2022-12-20
CUST_00111,SP,2022-12-01
CUST_00112,SP,2022-09-23
CUST_00113,PE,2022-09-28
CUST_00114,SC,2022-02-11
CUST_00115,MG,2022-04-03
CUST_00116,GO,2022-07-04
CUST_00117,SC,2022-08-03
CUST_00118,SP,2022-01-17
CUST_00119,GO,2022-09-22
CUST_00120,RJ,2022-04-24
CUST_00121,SC,2022-10-19
CUST_00122,GO,2022-10-19
CUST_00123,SP,2022-02-17
CUST_00124,SP,2022-11-03
CUST_00125,SP,2022-04-07
CUST_00126,RJ,2022-04-05
CUST_00127,SC,2022-11-22
CUST_00128,BA,2022-03-15
CUST_00129,SP,2022-12-02
CUST_00130,RJ,2022-03-09
CUST_00131,SP,2022-09-03
CUST_00132,SP,2022-03-18
CUST_00133,SP,2022-07-27
CUST_00134,SP,2022-09-11
CUST_00135,CE,2022-08-09
CUST_00136,SP,2022-09-19
CUST_00137,RJ,2022-11-27
CUST_00138,RS,2022-12-10
CUST_00139,SP,2022-09-16
CUST_00140,Other,2022-11-04
CUST_00141,Other,2022-03-15
CUST_00142,SP,2022-05-05
CUST_00143,RJ,2022-07-07
CUST_00144,SP,2022-09-11
CUST_00145,SP,2022-11-17
CUST_00146,SP,2022-11-04
CUST_00147,MG,2022-08-23
CUST_00148,RJ,2022-09-07
CUST_00149,SP,2022-11-28
CUST_00150,SP,2022-12-11
CUST_00151,ES,2022-03-13
CUST_00152,SP,2022-08-23
CUST_00153,SP,2022-11-20
CUST_00154,RJ,2022-06-05
CUST_00155,Other,2022-04-25
CUST_00156,SP,2022-11-09
CUST_00157,RS,2022-08-16
CUST_00158,PR,2022-11-18
CUST_00159,SP,2022-12-12
CUST_00160,PR,2022-09-02
CUST_00161,SP,2022-11-02
CUST_00162,MG,2022-01-14
CUST_00163,MG,2022-01-16
CUST_00164,RJ,2022-02-11
CUST_00165,SP,2022-04-20
CUST_00166,BA,2022-10-05
CUST_00167,SP,2022-11-20
CUST_00168,SP,2022-01-19
CUST_00169,SP,2022-03-07
CUST_00170,MG,2022-06-16
CUST_00171,RS,2022-03-14
CUST_00172,SP,2022-11-06
CUST_00173,RJ,2022-04-22
CUST_00174,SP,2022-10-01
CUST_00175,MG,2022-03-26
CUST_00176,SP,2022-05-19
CUST_00177,RS,2022-02-08
CUST_00178,SP,2022-04-15
CUST_00179,PE,2022-11-20
CUST_00180,SP,2022-10-08
CUST_00181,SP,2022-05-03
CUST_00182,SP,2022-08-06
CUST_00183,PE,2022-03-02
CUST_00184,GO,2022-04-10
CUST_00185,SP,2022-11-03
CUST_00186,MG,2022-12-20
CUST_00187,SC,2022-07-23
CUST_00188,MG,2022-09-15
CUST_00189,RJ,2022-01-05
CUST_00190,SP,2022-07-16
CUST_00191,SP,2022-06-29
CUST_00192,GO,2022-12-08
CUST_00193,ES,2022-05-13
CUST_00194,MG,2022-11-20
CUST_00195,SP,2022-09-10
CUST_00196,SP,2022-09-22
CUST_00197,PR,2022-04-03
CUST_00198,GO,2022-05-30
CUST_00199,GO,2022-05-18
CUST_00200,PR,2022-07-27
CUST_00201,MG,2022-05-05
CUST_00202,SP,2022-08-22
CUST_00203,SP,2022-03-02
CUST_00204,GO,2022-11-03
CUST_00205,MG,2022-09-23
CUST_00206,SP,2022-05-14
CUST_00207,SP,2022-11-14
CUST_00208,RS,2022-04-23
CUST_00209,SP,2022-07-10
CUST_00210,SP,2022-07-06
CUST_00211,RJ,2022-11-15
CUST_00212,RS,2022-03-30
CUST_00213,MG,2022-07-06
CUST_00214,SP,2022-11-03
CUST_00215,RS,2022-05-12
CUST_00216,SP,2022-12-26
CUST_00217,SP,2022-05-03
CUST_00218,PR,2022-02-17
CUST_00219,MG,2022-10-15
CUST_00220,BA,2022-06-28
CUST_00221,MG,2022-06-29
CUST_00222,MG,2022-04-09
CUST_00223,SP,2022-11-26
CUST_00224,SP,2022-02-03
CUST_00225,SP,2022-03-11
CUST_00226,SP,2022-06-20
CUST_00227,Other,2022-09-29
CUST_00228,SP,2022-02-28
CUST_00229,GO,2022-06-30
CUST_00230,MG,2022-01-19
CUST_00231,SC,2022-08-14
CUST_00232,RJ,2022-04-05
CUST_00233,MG,2022-10-24
CUST_00234,RJ,2022-03-22
CUST_00235,SP,2022-06-24
CUST_00236,PR,2022-08-10
CUST_00237,SP,2022-04-13
CUST_00238,SP,2022-02-23
CUST_00239,MG,2022-07-02
CUST_00240,SP,2022-12-17
CUST_00241,CE,2022-11-14
CUST_00242,CE,2022-12-21
CUST_00243,ES,2022-12-15
CUST_00244,SP,2022-11-17
CUST_00245,SP,2022-03-09
CUST_00246,PE,2022-01-28
CUST_00247,RJ,2022-10-01
CUST_00248,Other,2022-10-09
CUST_00249,Other,2022-12-26
CUST_00250,BA,2022-11-07
CUST_00251,SP,2022-04-29
CUST_00252,SP,2022-05-14
CUST_00253,BA,2022-05-09
CUST_00254,SP,2022-01-08
CUST_00255,SP,2022-02-20
CUST_00256,MG,2022-12-07
CUST_00257,PE,2022-10-08
CUST_00258,RS,2022-06-24
CUST_00259,MG,2022-07-02
CUST_00260,SP,2022-07-11
CUST_00261,MG,2022-09-06
CUST_00262,Other,2022-08-23
CUST_00263,SP,2022-03-24
CUST_00264,RJ,2022-04-03
CUST_00265,GO,2022-11-08
CUST_00266,PR,2022-09-25
CUST_00267,RS,2022-04-30
CUST_00268,RS,2022-03-12
CUST_00269,SP,2022-01-17
CUST_00270,SP,2022-09-10
CUST_00271,SC,2022-05-02
CUST_00272,SC,2022-01-10
CUST_00273,BA,2022-10-14
CUST_00274,ES,2022-11-12
CUST_00275,RJ,2022-11-22
CUST_00276,RJ,2022-09-30
CUST_00277,SC,2022-11-02
CUST_00278,MG,2022-10-20
CUST_00279,RS,2022-07-29
CUST_00280,SC,2022-08-06
CUST_00281,GO,2022-08-29
CUST_00282,SP,2022-07-19
CUST_00283,SP,2022-08-04
CUST_00284,SP,2022-07-24
CUST_00285,MG,2022-08-04
CUST_00286,SP,2022-03-21
CUST_00287,RJ,2022-09-24
CUST_00288,RJ,2022-02-04
CUST_00289,SP,2022-10-16
CUST_00290,MG,2022-01-18
CUST_00291,SP,2022-06-14
CUST_00292,SP,2022-01-13
CUST_00293,SC,2022-07-21
CUST_00294,SP,2022-08-17
CUST_00295,SP,2022-12-12
CUST_00296,RJ,2022-01-01
CUST_00297,PR,2022-11-15
CUST_00298,SP,2022-08-05
CUST_00299,MG,2022-02-03
CUST_00300,SP,2022-12-25
CUST_00301,SP,2022-09-23
CUST_00302,RJ,2022-05-08
CUST_00303,RJ,2022-07-31
CUST_00304,MG,2022-09-20
CUST_00305,PR,2022-11-08
CUST_00306,Other,2022-03-21
CUST_00307,RJ,2022-06-14
CUST_00308,SP,2022-09-09
CUST_00309,SC,2022-01-12
CUST_00310,SP,2022-10-31
CUST_00311,RJ,2022-07-31
CUST_00312,SP,2022-10-09
CUST_00313,SP,2022-04-22
CUST_00314,Other,2022-07-30
CUST_00315,BA,2022-08-27
CUST_00316,RS,2022-09-25
CUST_00317,SP,2022-10-25
CUST_00318,SP,2022-11-13
CUST_00319,SP,2022-02-27
CUST_00320,SP,2022-02-03
CUST_00321,RJ,2022-09-20
CUST_00322,RS,2022-12-31
CUST_00323,RS,2022-02-04
CUST_00324,SP,2022-09-28
CUST_00325,CE,2022-08-15
CUST_00326,PR,2022-01-25
CUST_00327,MG,2022-08-22
CUST_00328,MG,2022-02-28
CUST_00329,SP,2022-09-08
CUST_00330,SP,2022-12-01
