order_id,customer_id,order_date,delivery_date,category,product_price,quantity,revenue,freight_value,total_value,payment_type,review_score,delivery_days,order_status,year,month,quarter,year_month
ORD_000001,CUST_01727,2022-01-01,2022-01-06,Toys & Baby,40.07,1,40.07,22.66,62.73,credit_card,4,5,delivered,2022,1,Q1,2022-01
ORD_000002,CUST_04000,2022-01-01,2022-01-06,Sports & Leisure,133.78,1,133.78,20.53,154.31,credit_card,4,5,delivered,2022,1,Q1,2022-01
ORD_000003,CUST_06763,2022-01-01,2022-01-14,Books,19.12,1,19.12,33.12,52.24,credit_card,5,13,delivered,2022,1,Q1,2022-01
ORD_000004,CUST_04678,2022-01-01,2022-01-03,Books,23.58,3,70.75,25.97,96.72,credit_card,4,2,delivered,2022,1,Q1,2022-01
ORD_000005,CUST_05616,2022-01-01,2022-01-05,Health & Beauty,25.68,1,25.68,33.26,58.94,credit_card,5,4,delivered,2022,1,Q1,2022-01
ORD_000006,CUST_05742,2022-01-01,2022-01-02,Watches & Gifts,250.66,3,751.99,40.55,792.54,credit_card,5,1,delivered,2022,1,Q1,2022-01
ORD_000007,CUST_02024,2022-01-01,2022-01-19,Health & Beauty,73.33,1,73.33,10.44,83.77,credit_card,5,18,delivered,2022,1,Q1,2022-01
ORD_000008,CUST_01081,2022-01-01,2022-02-19,Furniture & Decor,121.98,1,121.98,32.26,154.24,credit_card,5,49,delivered,2022,1,Q1,2022-01
ORD_000009,CUST_03996,2022-01-02,2022-01-13,Electronics,351.2,1,351.2,41.74,392.94,credit_card,1,11,delivered,2022,1,Q1,2022-01
ORD_000010,CUST_02297,2022-01-02,2022-01-06,Housewares,13.65,1,13.65,19.9,33.55,credit_card,5,4,delivered,2022,1,Q1,2022-01
ORD_000011,CUST_01587,2022-01-02,2022-01-06,Auto,74.53,1,74.53,18.74,93.27,credit_card,5,4,delivered,2022,1,Q1,2022-01
ORD_000012,CUST_02113,2022-01-02,2022-01-09,Sports & Leisure,68.68,1,68.68,25.06,93.74,credit_card,4,7,shipped,2022,1,Q1,2022-01
ORD_000013,CUST_07151,2022-01-02,2022-01-03,Watches & Gifts,221.98,2,443.95,9.91,453.86,credit_card,5,1,delivered,2022,1,Q1,2022-01
ORD_000014,CUST_03895,2022-01-02,2022-01-04,Sports & Leisure,42.27,1,42.27,18.47,60.74,credit_card,3,2,delivered,2022,1,Q1,2022-01
ORD_000015,CUST_07781,2022-01-02,2022-01-26,Watches & Gifts,287.97,1,287.97,37.04,325.01,credit_card,5,24,delivered,2022,1,Q1,2022-01
ORD_000016,CUST_01623,2022-01-02,2022-01-03,Watches & Gifts,160.6,1,160.6,24.13,184.73,credit_card,3,1,delivered,2022,1,Q1,2022-01
ORD_000017,CUST_01324,2022-01-03,2022-01-19,Sports & Leisure,29.16,2,58.31,13.42,71.73,boleto,4,16,delivered,2022,1,Q1,2022-01
